# version,1.0,,,,
# layout,"T1(15)|T2(12)|T3(15)|T4(12)|true|true|true|true||T1, T2||330|320||true|false",,,,
# tts,T2(ko)|T4(ko)||||false|true,,,,
# etc,1,,,,
text1,text2,text3,text4,duration,due
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
주님의 사자가 빌립에게 말했어요.
""일어나 남쪽으로 향하여 예루살렘에서 가사로 내려가는 길로 가라.""
그 길은 광야였어요. (26절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
An angel of the Lord said to Philip, ""Go south to the road--the desert road--that goes down from Jerusalem to Gaza."" (26)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
빌립이 일어나 가다 보니, 에디오피아 사람 곧 에디오피아 여왕 간다게의 신하로,
모든 국고(나라의 재물)를 맡은 권세 있는 내시가 있었어요.  (27절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
So he started out, and on his way he met an Ethiopian eunuch in charge of all the treasury of Candace, queen of the Ethiopians. (27)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
그는 예배를 드리기 위해 예루살렘에 왔다가 돌아가는 길이었는데,
병거(마차)를 타고 가며 선지자 이사야의 글을 읽고 있었어요. (28절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
This man had gone to Jerusalem to worship,
and on his way home was sitting in his chariot reading the book of Isaiah the prophet. (28)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
성령이 빌립에게 말씀하셨어요.
""그 마차로 가까이 다가가라."" (29절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
The Spirit told Philip, ""Go to that chariot and stay near it."" (29)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
빌립은 달려갔어요. 그리고 내시가 선지자 이사야의 글 읽는 것을 듣고 말했어요.
""지금 읽고 있는 것을 이해할 수 있습니까?"" (30절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
Then Philip ran up to the chariot and heard the man reading Isaiah the prophet. ""Do you understand what you are reading?"" Philip asked. (30)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
내시가 대답했어요.
""지도해 주는 사람이 없는데 어떻게 깨달을 수 있겠습니까?"" 
내시는 빌립에게 마차에 올라 같이 앉으라 부탁했어요. (31절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
""How can I,"" he said, ""unless someone explains it to me?"" So he invited Philip to come up and sit with him. (31)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
그가 읽고 있는 성경 구절은 이것이었어요.
'그는 도살장으로 끌려가는 양처럼 끌려갔고, 털 깎는 사람 앞에 있는 어린 양의 잠잠함 같이 그 입을 열지 않았다.' (32절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
The eunuch was reading this passage of Scripture: ""He was led like a sheep to the slaughter, and as a lamb before the shearer is silent, so he did not open his mouth."" (32)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
'그는 낮아졌을 때 올바른 재판을 받지 못하였으니 누가 감히 그 후손을 말하겠는가. 그 생명이 땅에서 끝났음이다.' (33절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
""In his humiliation he was deprived of justice. Who can describe his generation? For his life is taken from the earth."" (33)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
내시가 빌립에게 물었어요.
""질문이 있습니다. 선지자가 말한 이 사람이 누구입니까? 이사야 자신을 말한 것입니까 다른 사람을 말한 것입니까?"" (34절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
The eunuch asked Philip, ""Tell me, please, who is the prophet talking about, himself or someone else?"" (34)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
빌립이 입을 열어 이사야의 글부터 시작하여 예수님을 가르치며 복음을 전했어요. (35절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_01.png?raw=true"" width=""80%"">
Then Philip began with that very passage of Scripture and told him the good news about Jesus. (35)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_02.png?raw=true"" width=""80%"">
길을 계속 가다가 물 있는 곳에 이르렀어요. 그러자 에디오피아 내시가 말했어요.
""보세요. 물이 있으니 내가 세례를 받는 것에 무슨 거리낌이 있겠습니까?"" (36절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_02.png?raw=true"" width=""80%"">
As they traveled along the road, they came to some water and the eunuch said, ""Look, here is water. Why shouldn't I be baptized?"" (36)",120000,0
빌립과 에디오피아 내시(행8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_02.png?raw=true"" width=""80%"">
내시는 명하여 마차를 세우게 하고 빌립과 함께 물로 내려갔어요.
빌립은 내시에게 세례를 주었어요. (38절)",Philip and an Ethiopian eunuch(Acts8),"<img src=""https://github.com/joanpark/joanpark.github.io/blob/master/assets/images/BE_Acts8_Philip%20and%20an%20Ethiopian_02.png?raw=true"" width=""80%"">
And he gave orders to stop the chariot. Then both Philip and the eunuch went down into the water and Philip baptized him. (38)",120000,0
